Date,Time,Temperature(°C),Interval(in minutes)
2025-07-16,20:09:59,-,5 min
16-07-2025,20:09:59,34.0,5
16-07-2025,20:14:59,34.3,5
16-07-2025,20:19:59,34.7,5
16-07-2025,20:24:59,34.6,5
16-07-2025,20:29:59,34.8,5
16-07-2025,20:34:59,34.7,5
16-07-2025,20:39:59,34.8,5
16-07-2025,20:44:59,34.8,5
16-07-2025,20:49:59,34.9,5
16-07-2025,20:54:59,34.7,5
16-07-2025,20:59:59,34.5,5
16-07-2025,21:04:59,34.5,5
16-07-2025,21:09:59,34.6,5
16-07-2025,21:14:59,34.6,5
16-07-2025,21:19:59,34.7,5
16-07-2025,21:24:59,35.0,5
16-07-2025,21:29:59,35.2,5
16-07-2025,21:34:59,35.3,5
16-07-2025,21:39:59,35.4,5
16-07-2025,21:44:59,35.4,5
16-07-2025,21:49:59,35.5,5
16-07-2025,21:54:59,35.6,5
16-07-2025,21:59:59,35.5,5
16-07-2025,22:04:59,35.4,5
16-07-2025,22:09:59,35.4,5
16-07-2025,22:14:59,35.4,5
16-07-2025,22:19:59,35.4,5
16-07-2025,22:24:59,35.4,5
16-07-2025,22:29:59,35.4,5
16-07-2025,22:34:59,35.4,5
16-07-2025,22:39:59,35.4,5
16-07-2025,22:44:59,35.3,5
16-07-2025,22:49:59,35.3,5
16-07-2025,22:54:59,35.2,5
16-07-2025,22:59:59,35.2,5
16-07-2025,23:04:59,35.2,5
16-07-2025,23:09:59,35.3,5
16-07-2025,23:14:59,35.4,5
16-07-2025,23:19:59,35.6,5
16-07-2025,23:24:59,35.5,5
16-07-2025,23:29:59,35.6,5
16-07-2025,23:34:59,35.6,5
16-07-2025,23:39:59,35.6,5
16-07-2025,23:44:59,35.7,5
16-07-2025,23:49:59,35.5,5
16-07-2025,23:54:59,35.2,5
16-07-2025,23:59:59,34.7,5
17-07-2025,00:04:59,34.6,5
17-07-2025,00:09:59,34.4,5
17-07-2025,00:14:59,34.4,5
17-07-2025,00:19:59,34.2,5
17-07-2025,00:24:59,35.0,5
17-07-2025,00:29:59,35.5,5
17-07-2025,00:34:59,34.5,5
17-07-2025,00:39:59,34.4,5
17-07-2025,00:44:59,34.3,5
17-07-2025,00:49:59,34.4,5
17-07-2025,00:54:59,34.8,5
17-07-2025,00:59:59,34.9,5
17-07-2025,01:04:59,35.1,5
17-07-2025,01:09:59,34.6,5
17-07-2025,01:14:59,34.2,5
17-07-2025,01:19:59,34.0,5
17-07-2025,01:24:59,33.9,5
17-07-2025,01:29:59,34.1,5
17-07-2025,01:34:59,34.4,5
17-07-2025,01:39:59,34.5,5
17-07-2025,01:44:59,34.7,5
17-07-2025,01:49:59,34.9,5
17-07-2025,01:54:59,35.0,5
17-07-2025,01:59:59,35.0,5
17-07-2025,02:04:59,35.0,5
17-07-2025,02:09:59,34.3,5
17-07-2025,02:14:59,34.1,5
17-07-2025,02:19:59,34.0,5
17-07-2025,02:24:59,34.4,5
17-07-2025,02:29:59,34.7,5
17-07-2025,02:34:59,34.2,5
17-07-2025,02:39:59,34.1,5
17-07-2025,02:44:59,34.0,5
17-07-2025,02:49:59,34.2,5
17-07-2025,02:54:59,34.2,5
17-07-2025,02:59:59,34.6,5
17-07-2025,03:04:59,34.8,5
17-07-2025,03:09:59,34.8,5
17-07-2025,03:14:59,35.0,5
17-07-2025,03:19:59,35.3,5
17-07-2025,03:24:59,35.3,5
17-07-2025,03:29:59,35.3,5
17-07-2025,03:34:59,35.1,5
17-07-2025,03:39:59,35.1,5
17-07-2025,03:44:59,35.0,5
17-07-2025,03:49:59,35.1,5
17-07-2025,03:54:59,35.2,5
17-07-2025,03:59:59,35.2,5
17-07-2025,04:04:59,35.3,5
17-07-2025,04:09:59,35.3,5
17-07-2025,04:14:59,35.4,5
17-07-2025,04:19:59,35.4,5
17-07-2025,04:24:59,35.2,5
17-07-2025,04:29:59,35.5,5
17-07-2025,04:34:59,35.6,5
17-07-2025,04:39:59,35.6,5
17-07-2025,04:44:59,35.6,5
17-07-2025,04:49:59,35.6,5
17-07-2025,04:54:59,35.6,5
17-07-2025,04:59:59,35.5,5
17-07-2025,05:04:59,35.1,5
17-07-2025,05:09:59,35.2,5
17-07-2025,05:14:59,35.2,5
17-07-2025,05:19:59,35.2,5
17-07-2025,05:24:59,35.3,5
17-07-2025,05:29:59,35.2,5
17-07-2025,05:34:59,35.3,5
17-07-2025,05:39:59,35.0,5
17-07-2025,05:44:59,35.0,5
17-07-2025,05:49:59,35.0,5
17-07-2025,05:54:59,34.9,5
17-07-2025,05:59:59,34.9,5
17-07-2025,06:04:59,35.0,5
17-07-2025,06:09:59,35.1,5
17-07-2025,06:14:59,35.1,5
17-07-2025,06:19:59,35.0,5
17-07-2025,06:24:59,35.1,5
17-07-2025,06:29:59,35.2,5
17-07-2025,06:34:59,35.3,5
17-07-2025,06:39:59,35.5,5
17-07-2025,06:44:59,35.4,5
