Date,Time,Temperature(°C),Interval(in minutes)
2025-07-31,10:22:38,-,5 min
31-07-2025,10:22:38,36.5,5
31-07-2025,10:27:38,36.4,5
31-07-2025,10:32:38,36.5,5
31-07-2025,10:37:38,36.5,5
31-07-2025,10:42:38,36.5,5
31-07-2025,10:47:38,36.5,5
31-07-2025,10:52:38,36.5,5
31-07-2025,10:57:38,36.6,5
31-07-2025,11:02:38,36.8,5
31-07-2025,11:07:38,36.8,5
31-07-2025,11:12:38,36.8,5
31-07-2025,11:17:38,36.8,5
31-07-2025,11:22:38,36.8,5
31-07-2025,11:27:38,36.9,5
31-07-2025,11:32:38,37.0,5
31-07-2025,11:37:38,37.0,5
31-07-2025,11:42:38,37.0,5
31-07-2025,11:47:38,36.9,5
31-07-2025,11:52:38,36.9,5
31-07-2025,11:57:38,36.9,5
31-07-2025,12:02:38,36.7,5
31-07-2025,12:07:38,36.5,5
31-07-2025,12:12:38,36.4,5
31-07-2025,12:17:38,36.4,5
31-07-2025,12:22:38,36.3,5
31-07-2025,12:27:38,36.3,5
31-07-2025,12:32:38,36.6,5
31-07-2025,12:37:38,36.7,5
31-07-2025,12:42:38,36.7,5
31-07-2025,12:47:38,36.7,5
31-07-2025,12:52:38,36.6,5
31-07-2025,12:57:38,36.6,5
31-07-2025,13:02:38,36.8,5
31-07-2025,13:07:38,36.8,5
31-07-2025,13:12:38,36.9,5
31-07-2025,13:17:38,37.0,5
31-07-2025,13:22:38,36.9,5
31-07-2025,13:27:38,36.9,5
31-07-2025,13:32:38,36.9,5
31-07-2025,13:37:38,36.8,5
31-07-2025,13:42:38,36.9,5
31-07-2025,13:47:38,36.1,5
31-07-2025,13:52:38,36.4,5
31-07-2025,13:57:38,36.4,5
31-07-2025,14:02:38,36.8,5
31-07-2025,14:07:38,36.9,5
31-07-2025,14:12:38,37.0,5
31-07-2025,14:17:38,37.0,5
31-07-2025,14:22:38,37.1,5
31-07-2025,14:27:38,37.1,5
31-07-2025,14:32:38,37.2,5
31-07-2025,14:37:38,37.2,5
31-07-2025,14:42:38,37.2,5
31-07-2025,14:47:38,37.2,5
31-07-2025,14:52:38,37.2,5
31-07-2025,14:57:38,37.2,5
31-07-2025,15:02:38,37.3,5
31-07-2025,15:07:38,37.3,5
31-07-2025,15:12:38,37.3,5
31-07-2025,15:17:38,37.3,5
31-07-2025,15:22:38,37.3,5
31-07-2025,15:27:38,37.3,5
31-07-2025,15:32:38,37.3,5
31-07-2025,15:37:38,37.3,5
31-07-2025,15:42:38,37.3,5
31-07-2025,15:47:38,37.3,5
31-07-2025,15:52:38,37.3,5
31-07-2025,15:57:38,37.1,5
31-07-2025,16:02:38,37.0,5
31-07-2025,16:07:38,37.0,5
31-07-2025,16:12:38,37.1,5
31-07-2025,16:17:38,37.1,5
31-07-2025,16:22:38,37.2,5
31-07-2025,16:27:38,37.1,5
31-07-2025,16:32:38,37.1,5
31-07-2025,16:37:38,36.8,5
31-07-2025,16:42:38,36.5,5
31-07-2025,16:47:38,37.3,5
31-07-2025,16:52:38,29.9,5
31-07-2025,16:57:38,27.7,5
31-07-2025,17:02:38,26.7,5
31-07-2025,17:07:38,26.1,5
31-07-2025,17:12:38,25.7,5
31-07-2025,17:17:38,25.5,5
31-07-2025,17:22:38,25.3,5
31-07-2025,17:27:38,25.1,5
31-07-2025,17:32:38,25.0,5
31-07-2025,17:37:38,25.0,5
31-07-2025,17:42:38,24.9,5
31-07-2025,17:47:38,24.8,5
